Feedback_ID,Feedback_Text,Sentiment
49,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
50,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
51,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
52,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
53,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
54,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
55,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
56,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
57,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
58,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
59,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
60,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
61,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
62,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
63,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
64,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
65,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
66,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
67,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
68,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
69,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
70,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
71,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
72,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
73,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
74,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
75,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
76,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
77,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
78,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
79,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
80,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
81,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
82,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
83,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
84,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
85,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
86,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
87,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
88,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
89,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
90,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
91,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
92,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
93,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
94,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
95,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
96,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
97,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
98,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
99,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
100,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
101,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
102,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
103,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
104,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
105,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
106,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
107,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
108,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
109,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
110,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
111,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
112,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
113,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
114,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
115,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
116,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
117,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
118,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
119,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
120,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
121,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
122,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
123,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
124,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
125,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
126,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
127,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
128,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
129,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
130,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
131,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
132,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
133,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
134,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
135,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
136,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
137,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
138,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
139,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
140,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
141,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
142,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
143,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
144,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
145,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
146,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
147,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
148,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
149,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
150,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
151,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
152,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
153,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
154,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
155,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
156,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
157,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
158,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
159,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
160,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
161,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
162,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
163,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
164,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
165,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
166,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
167,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
168,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
169,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
170,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
171,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
172,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
173,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
174,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
175,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
176,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
177,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
178,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
179,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
180,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
181,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
182,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
183,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
184,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
185,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
186,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
187,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
188,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
189,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
190,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
191,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
192,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
193,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
194,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
195,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
196,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
197,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
198,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
199,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
200,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
201,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
202,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
203,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
204,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
205,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
206,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
207,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
208,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
209,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
210,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
211,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
212,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
213,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
214,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
215,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
216,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
217,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
218,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
219,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
220,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
221,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
222,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
223,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
224,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
225,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
226,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
227,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
228,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
229,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
230,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
231,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
232,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
233,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
234,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
235,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
236,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
237,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
238,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
239,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
240,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
241,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
242,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
243,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
244,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
245,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
246,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
247,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
248,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
249,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
250,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
251,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
252,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
253,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
254,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
255,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
256,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
257,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
258,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
259,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
260,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
261,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
262,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
263,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
264,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
265,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
266,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
267,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
268,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
269,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
270,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
271,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
272,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
273,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
274,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
275,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
276,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
277,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
278,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
279,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
280,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
281,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
282,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
283,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
284,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
285,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
286,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
287,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
288,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
289,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
290,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
291,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
292,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
293,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
294,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
295,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
296,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
297,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
298,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
299,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
300,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
301,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
302,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
303,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
304,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
305,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
306,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
307,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
308,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
309,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
310,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
311,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
312,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
313,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
314,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
315,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
316,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
317,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
318,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
319,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
320,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
321,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
322,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
323,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
324,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
325,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
326,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
327,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
328,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
329,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
330,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
331,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
332,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
333,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
334,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
335,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
336,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
337,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
338,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
339,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
340,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
341,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
342,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
343,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
344,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
345,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
346,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
347,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
348,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
349,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
350,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
351,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
352,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
353,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
354,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
355,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
356,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
357,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
358,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
359,"Die Lösung war in Ordnung, aber der Prozess war etwas langsam.",neutral
360,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
361,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
362,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
363,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
364,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
365,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
366,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
367,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
368,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
369,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
370,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
